,network_age,Customer tenure in month,Total Spend in Months 1 and 2 of 2017,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,Total Call centre complaint calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn
0,123.0,4.1,76.714,0.0,1.25,1.4951,14.0,564.0,6408.0,2.0,0.0,0.0,4.0,0.0,0.0
1,1316.0,43.87,98.8904,4.14,1.25,1.0244,27.0,1626.0,4373.0,1.0,0.0,0.0,4.0,0.0,0.0
2,2385.0,79.5,372.63,3.51,1.25,6.0898,119.0,10411.0,22039.0,1.0,0.0,0.0,5.0,0.0,0.0
3,1614.0,53.8,530.2,6.85,1.25,3.3447,69.0,6822.0,6274.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2175.0,72.5,554.13,6.99,153.75,673204.0342,33.0,3387.0,7241.0,1.0,0.0,1.0,5.0,0.0,0.0
5,158.0,5.27,792.1144,28.63,108.75,107713.582,101.0,7296.0,16636.0,1.0,0.0,0.0,4.0,0.0,0.0
6,110.0,3.67,1090.5,1.75,0.0,14.9102,303.0,22176.0,71699.0,2.0,0.0,0.0,6.0,0.0,0.0
7,558.0,18.6,29.5464,7.17,0.0,19.1533,4.0,12.0,444.0,1.0,0.0,0.0,4.0,0.0,1.0
8,115.0,3.83,62.251999999999995,6.76,11.25,201352.70899999997,13.0,0.0,3563.0,1.0,0.0,1.0,1.0,0.0,1.0
9,1868.0,62.27,120.1204,23.49,31.25,440.1846,23.0,0.0,4254.0,1.0,0.0,0.0,1.0,0.0,1.0
10,1196.0,39.87,155.0008,24.26,2.5,254941.6182,13.0,0.0,3810.0,1.0,0.0,0.0,5.0,0.0,1.0
11,174.0,5.8,156.77200000000002,31.94,6.25,201527.4873,23.0,144.0,1487.0,1.0,0.0,0.0,1.0,0.0,1.0
12,122.0,4.07,161.1,0.0,0.0,32.459,152.0,1176.0,13119.0,6.0,0.0,0.0,5.0,0.0,1.0
13,441.0,14.7,169.5648,45.6,3.75,6635.3525,26.0,48.0,5457.0,1.0,0.0,0.0,1.0,0.0,1.0
14,2132.0,71.07,647.2068,14.81,0.0,6050.709,200.0,6276.0,22607.0,1.0,0.0,0.0,5.0,0.0,1.0
15,180.0,6.0,687.11,136.56,22.5,17036.7813,143.0,1956.0,11768.0,1.0,0.0,0.0,1.0,0.0,1.0
16,114.0,3.8,822.258,6.24,106.25,3071059.9069999997,52.0,228.0,24088.0,2.0,0.0,0.0,3.0,0.0,1.0
17,3496.0,116.53,1160.93,121.27,7.5,71.9365,200.0,17408.0,68500.0,2.0,0.0,0.0,3.0,0.0,1.0
18,422.0,14.07,1170.17,27.4,7.5,106.0205,293.0,4434.0,91967.0,1.0,0.0,0.0,4.0,0.0,1.0
19,1914.0,63.8,1592.72,23.26,2.5,11.6113,375.0,25523.0,99000.0,1.0,0.0,0.0,3.0,0.0,1.0
20,1822.0,60.73,1621.36,100.98,12.5,198.5088,339.0,12645.0,109895.0,1.0,0.0,0.0,1.0,0.0,1.0
21,120.0,4.0,61.29,3.5,0.0,0.2998,23.0,1116.0,4041.0,1.0,0.0,0.0,3.0,1.0,0.0
22,2372.0,79.07,96.13,15.45,16.25,29.459,15.0,502.0,3191.0,2.0,0.0,0.0,1.0,1.0,0.0
23,3500.0,116.67,100.71,1.76,0.0,526910.4775,2.0,0.0,185.0,3.0,0.0,0.0,2.0,1.0,0.0
24,121.0,4.03,125.12200000000001,0.5,78.75,1674288.928,9.0,729.0,1908.0,1.0,0.0,1.0,4.0,1.0,0.0
25,2417.0,80.57,142.03,7.05,1.25,36694.3652,13.0,2421.0,967.0,1.0,0.0,0.0,2.0,1.0,0.0
26,204.0,6.8,162.9344,9.66,58.75,581798.6514,9.0,120.0,2000.0,1.0,0.0,1.0,2.0,1.0,0.0
27,3291.0,109.7,199.188,0.01,92.5,87203.6817,4.0,0.0,549.0,5.0,0.0,0.0,2.0,1.0,0.0
28,847.0,28.23,222.7304,0.0,55.0,755157.4844,12.0,2409.0,1037.0,1.0,0.0,0.0,2.0,1.0,0.0
29,1038.0,34.6,261.8384,23.65,10.0,7982150.937999999,29.0,2940.0,6631.0,4.0,0.0,1.0,1.0,1.0,0.0
30,1758.0,58.6,311.0628,0.0,55.0,179282.8418,11.0,1092.0,904.0,1.0,0.0,0.0,4.0,1.0,0.0
31,1262.0,42.07,311.65,17.5,3.75,95451.3741,5.0,275.0,358.0,1.0,0.0,0.0,2.0,1.0,0.0
32,2132.0,71.07,332.8,5.25,21.25,7639898.5879999995,30.0,1937.0,3547.0,3.0,0.0,1.0,4.0,1.0,0.0
33,3352.0,111.73,397.296,107.1,30.0,40258.2734,16.0,801.0,2043.0,2.0,0.0,0.0,2.0,1.0,0.0
34,2067.0,68.9,423.61,135.66,21.25,3854.1659999999997,15.0,2571.0,1207.0,1.0,0.0,0.0,2.0,1.0,0.0
35,1070.0,35.67,427.3776,1.75,26.25,16845.0557,176.0,5263.0,7771.0,2.0,0.0,1.0,2.0,1.0,0.0
36,567.0,18.9,534.5204,20.05,0.0,87299.6885,30.0,945.0,1923.0,1.0,0.0,0.0,2.0,1.0,0.0
37,3713.0,123.77,726.14,2.42,92.5,13224193.42,38.0,1320.0,6685.0,1.0,0.0,1.0,2.0,1.0,0.0
38,185.0,6.17,746.0980000000001,105.94,2.5,7210.9980000000005,33.0,1296.0,4609.0,2.0,0.0,0.0,2.0,1.0,0.0
39,1426.0,47.53,1158.8744,12.89,2.5,12780320.19,671.0,5634.0,7794.0,1.0,0.0,0.0,2.0,1.0,0.0
40,368.0,12.27,1224.0612,0.0,52.5,1758480.2140000002,16.0,502.0,3681.0,1.0,0.0,0.0,3.0,1.0,0.0
41,371.0,12.37,13.402000000000001,0.0,1.25,29283.8877,22.0,132.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
